"FileName","RelativePath","Extension","SizeKB","Width","Height","AspectRatio","Classification","Status"
"favicon.svg","C:\Users\famil\Documents\GitHub\janavani-website\assets\favicon.svg",".svg","200.64",,,,"brand\favicon","BUILDING / REVIEW"
"JanaVani banner - svg.svg","C:\Users\famil\Documents\GitHub\janavani-website\assets\images\JanaVani banner - svg.svg",".svg","740.73",,,,"brand\logos","BUILDING / REVIEW"
"JanaVani banner.png","C:\Users\famil\Documents\GitHub\janavani-website\assets\images\JanaVani banner.png",".png","1450.03","1408","768","1.833","brand\logos","BUILDING / REVIEW"
"JanaVani Profile Pictures - svg.svg","C:\Users\famil\Documents\GitHub\janavani-website\assets\JanaVani Profile Pictures - svg.svg",".svg","200.64",,,,"brand\logos","BUILDING / REVIEW"
"JanaVani Profile Pictures bmp.bmp","C:\Users\famil\Documents\GitHub\janavani-website\assets\JanaVani Profile Pictures bmp.bmp",".bmp","1903.13","702","694","1.012","brand\logos","BUILDING / REVIEW"
"JanaVani Profile Pictures re-size svg.svg","C:\Users\famil\Documents\GitHub\janavani-website\assets\JanaVani Profile Pictures re-size svg.svg",".svg","198.02",,,,"brand\logos","BUILDING / REVIEW"
"JanaVani Profile Pictures re-size tif.tif","C:\Users\famil\Documents\GitHub\janavani-website\assets\JanaVani Profile Pictures re-size tif.tif",".tif","680.1","702","694","1.012","brand\logos","BUILDING / REVIEW"
"JanaVani Profile Pictures re-size.png","C:\Users\famil\Documents\GitHub\janavani-website\assets\JanaVani Profile Pictures re-size.png",".png","598.03","702","694","1.012","brand\logos","BUILDING / REVIEW"
"JanaVani Profile Pictures.png","C:\Users\famil\Documents\GitHub\janavani-website\assets\JanaVani Profile Pictures.png",".png","1213.67","1024","1024","1","brand\logos","BUILDING / REVIEW"
"Preamble of India WebP.webp","C:\Users\famil\Documents\GitHub\janavani-website\assets\Preamble of India WebP.webp",".webp","82.8",,,,"constitutional","BUILDING / REVIEW"
"Preamble of India.png","C:\Users\famil\Documents\GitHub\janavani-website\assets\Preamble of India.png",".png","520.4","527","705","0.748","constitutional","BUILDING / REVIEW"
"janavani-civic-action-pathway.png","C:\Users\famil\Documents\GitHub\janavani-website\assets\images\janavani-civic-action-pathway.png",".png","1480.47","1536","1024","1.5","diagrams\civic-pathway","BUILDING / REVIEW"
